2	0
186
0	1	313	128	313	182	3
0	2	315	156	340	156	3
0	3	340	129	340	183	3
0	4	366	179	387	126	3
0	5	389	125	405	176	3
0	6	373	153	397	153	3
0	7	430	182	448	131	3
0	8	449	129	468	180	3
0	9	469	180	481	131	3
0	10	480	132	500	181	3
0	11	512	177	530	127	3
0	12	531	125	549	175	3
0	13	551	175	563	127	3
0	14	562	128	582	176	3
0	15	595	176	612	129	3
0	16	612	132	627	174	3
0	17	604	156	622	158	3
0	18	244	132	248	174	3
0	19	250	175	258	183	3
0	20	260	183	272	183	3
0	21	273	182	283	174	3
0	22	284	172	282	132	3
0	23	747	142	755	149	3
0	24	763	127	771	133	3
0	25	756	151	764	161	3
0	26	765	161	765	170	3
0	27	765	173	759	176	3
0	28	745	176	757	177	3
0	29	763	126	750	127	3
0	30	747	127	744	132	3
0	31	744	135	747	142	3
0	32	790	176	804	125	3
0	33	806	127	824	172	3
0	34	799	154	816	150	3
0	35	838	126	854	142	3
0	36	855	144	856	173	3
0	37	856	143	873	127	3
0	38	919	130	892	129	3
0	39	892	132	892	174	3
0	40	893	177	918	176	3
0	41	892	155	910	153	3
0	42	645	131	645	175	3
0	43	646	131	658	135	3
0	44	659	135	667	143	3
0	45	667	143	669	163	3
0	46	670	165	663	173	3
0	47	645	176	660	174	3
0	48	941	131	940	179	3
0	49	942	130	956	134	3
0	50	958	135	965	146	3
0	51	965	149	965	168	3
0	52	963	169	957	175	3
0	53	958	177	941	180	3
0	54	177	182	191	137	3
0	55	193	138	200	174	3
0	56	201	174	215	139	3
0	57	216	137	230	181	3
0	58	159	289	173	244	9
0	59	175	245	182	281	9
0	60	183	281	197	246	9
0	61	198	244	212	288	9
0	62	226	239	230	281	9
0	63	232	282	240	290	9
0	64	242	290	254	290	9
0	65	255	289	265	281	9
0	66	266	279	264	239	9
0	67	295	235	295	289	9
0	68	297	263	322	263	9
0	69	322	236	322	290	9
0	70	348	286	369	233	9
0	71	355	260	379	260	9
0	72	371	232	387	283	9
0	73	412	289	430	238	9
0	74	431	236	450	287	9
0	75	451	287	463	238	9
0	76	462	239	482	288	9
0	77	494	284	512	234	9
0	78	513	232	531	282	9
0	79	533	282	545	234	9
0	80	544	235	564	283	9
0	81	577	283	594	236	9
0	82	586	263	604	265	9
0	83	594	239	609	281	9
0	84	627	238	627	282	9
0	85	628	238	640	242	9
0	86	641	242	649	250	9
0	87	649	250	651	270	9
0	88	652	272	645	280	9
0	89	627	283	642	281	9
0	90	730	285	751	232	9
0	91	737	259	761	259	9
0	92	753	231	769	282	9
0	93	790	231	787	281	9
0	94	789	253	816	256	9
0	95	818	229	813	287	9
0	96	831	283	847	234	9
0	97	847	232	858	281	9
0	98	861	281	873	234	9
0	99	875	233	888	284	9
0	100	911	261	929	259	9
0	101	911	238	911	280	9
0	102	912	283	937	282	9
0	103	938	236	911	235	9
0	104	955	238	955	282	9
0	105	956	238	968	242	9
0	106	969	242	977	250	9
0	107	977	250	979	270	9
0	108	980	272	973	280	9
0	109	955	283	970	281	9
0	110	154	390	170	341	2
0	111	170	339	181	388	2
0	112	184	388	196	341	2
0	113	198	340	211	391	2
0	114	234	392	250	343	2
0	115	250	341	268	389	2
0	116	239	368	260	367	2
0	117	296	343	327	343	2
0	118	330	345	296	386	2
0	119	294	386	328	387	2
0	120	357	347	357	389	2
0	121	357	370	375	368	2
0	122	358	392	383	391	2
0	123	384	345	357	344	2
0	124	408	343	407	393	2
0	125	409	340	436	395	2
0	126	438	393	440	342	2
0	127	559	389	574	342	2
0	128	575	339	596	385	2
0	129	620	388	634	343	2
0	130	636	344	650	387	2
0	131	650	387	663	345	2
0	132	663	346	678	386	2
0	133	703	347	705	388	2
0	134	703	344	716	348	2
0	135	719	348	725	355	2
0	136	725	357	725	362	2
0	137	723	364	716	366	2
0	138	715	366	705	367	2
0	139	704	368	726	388	2
0	140	144	501	160	452	4
0	141	160	450	171	499	4
0	142	174	499	186	452	4
0	143	188	451	201	502	4
0	144	224	503	240	454	4
0	145	229	479	250	478	4
0	146	240	452	258	500	4
0	147	289	447	289	501	4
0	148	291	475	316	475	4
0	149	316	448	316	502	4
0	150	344	502	366	452	4
0	151	368	453	376	498	4
0	152	377	498	394	455	4
0	153	394	455	409	499	4
2	154	426	454	455	492	4	1
0	155	484	450	485	489	4
0	156	486	491	496	495	4
0	157	498	497	509	497	4
0	158	509	496	521	490	4
0	159	521	489	520	451	4
0	160	546	454	546	498	4
0	161	546	499	561	497	4
0	162	571	488	564	496	4
0	163	568	466	570	486	4
0	164	547	454	559	458	4
0	165	560	458	568	466	4
0	166	654	509	675	456	4
0	167	661	483	685	483	4
0	168	677	455	693	506	4
0	169	755	507	771	458	4
0	170	771	456	782	505	4
0	171	785	505	797	458	4
0	172	799	457	812	508	4
0	173	835	462	835	504	4
0	174	862	460	835	459	4
0	175	835	485	853	483	4
0	176	836	507	861	506	4
0	177	879	462	879	506	4
0	178	880	462	892	466	4
0	179	893	466	901	474	4
0	180	901	474	903	494	4
0	181	904	496	897	504	4
0	182	879	507	894	505	4
0	183	709	451	709	505	4
0	184	711	479	736	479	4
0	185	736	452	736	506	4
0	186	566	364	586	364	2
